ID,sentence1,sentence2,manual_similarity
23,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.33
24,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.13
25,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.40
26,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,இது ஒரு மாயையான புகைப்படம்.,0.00
27,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.87
28,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.20
29,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.53
30,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,இது ஒரு மாயையான புகைப்படம்.,0.00
31,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.13
32,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.33
33,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,இது ஒரு மாயையான புகைப்படம்.,0.00
34,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.13
35,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,இது ஒரு மாயையான புகைப்படம்.,0.13
36,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,இது ஒரு மாயையான புகைப்படம்.,0.00
37,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி மாடடை பின்னால் துரத்துகிறது,0.20
38,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி ஒன்று வேட்டையாடுகின்றது,0.20
39,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,0.33
40,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,சிறுத்தை குதிரையை துரத்துகின்றது,0.20
41,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,சிங்கம் தன் இரையை துரத்துகின்றது.,1.00
42,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,குதிரையை சிறுத்தை துரத்துகிறது,0.20
43,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.20
44,காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.20
45,புலி மாடடை பின்னால் துரத்துகிறது,புலி ஒன்று வேட்டையாடுகின்றது,0.80
46,புலி மாடடை பின்னால் துரத்துகிறது,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,0.87
47,புலி மாடடை பின்னால் துரத்துகிறது,சிறுத்தை குதிரையை துரத்துகின்றது,0.20
48,புலி மாடடை பின்னால் துரத்துகிறது,சிங்கம் தன் இரையை துரத்துகின்றது.,0.20
49,புலி மாடடை பின்னால் துரத்துகிறது,குதிரையை சிறுத்தை துரத்துகிறது,0.20
50,புலி மாடடை பின்னால் துரத்துகிறது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.80
51,புலி மாடடை பின்னால் துரத்துகிறது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.93
52,புலி ஒன்று வேட்டையாடுகின்றது,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,1.00
53,புலி ஒன்று வேட்டையாடுகின்றது,சிறுத்தை குதிரையை துரத்துகின்றது,0.20
54,புலி ஒன்று வேட்டையாடுகின்றது,சிங்கம் தன் இரையை துரத்துகின்றது.,0.20
55,புலி ஒன்று வேட்டையாடுகின்றது,குதிரையை சிறுத்தை துரத்துகிறது,0.20
56,புலி ஒன்று வேட்டையாடுகின்றது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.60
57,புலி ஒன்று வேட்டையாடுகின்றது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.67
58,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,சிறுத்தை குதிரையை துரத்துகின்றது,0.20
59,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,சிங்கம் தன் இரையை துரத்துகின்றது.,0.20
60,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,குதிரையை சிறுத்தை துரத்துகிறது,0.20
61,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.87
62,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.73
63,சிறுத்தை குதிரையை துரத்துகின்றது,சிங்கம் தன் இரையை துரத்துகின்றது.,0.20
64,சிறுத்தை குதிரையை துரத்துகின்றது,குதிரையை சிறுத்தை துரத்துகிறது,1.00
65,சிறுத்தை குதிரையை துரத்துகின்றது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.27
66,சிறுத்தை குதிரையை துரத்துகின்றது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.27
67,சிங்கம் தன் இரையை துரத்துகின்றது.,குதிரையை சிறுத்தை துரத்துகிறது,0.20
68,சிங்கம் தன் இரையை துரத்துகின்றது.,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.33
69,சிங்கம் தன் இரையை துரத்துகின்றது.,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.20
70,குதிரையை சிறுத்தை துரத்துகிறது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,0.27
71,குதிரையை சிறுத்தை துரத்துகிறது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.20
72,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,0.93
73,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,1.00
74,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒருவர் சந்தையில் ஓடுகின்றார்,0.60
75,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒருவர் வீதியில் ஓடுகின்றார்.,0.60
76,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,0.80
77,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,0.73
78,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.00
79,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.13
80,பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஓருவர் வேகமாக ஓடுகின்றார்.,0.80
81,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஒருவர் சந்தையில் ஓடுகின்றார்,0.33
82,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஒருவர் வீதியில் ஓடுகின்றார்.,0.87
83,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,0.47
84,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,0.60
85,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.00
86,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.00
87,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஓருவர் வேகமாக ஓடுகின்றார்.,0.87
88,ஒருவர் சந்தையில் ஓடுகின்றார்,ஒருவர் வீதியில் ஓடுகின்றார்.,0.20
89,ஒருவர் சந்தையில் ஓடுகின்றார்,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,0.20
90,ஒருவர் சந்தையில் ஓடுகின்றார்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,0.20
91,ஒருவர் சந்தையில் ஓடுகின்றார்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.00
92,ஒருவர் சந்தையில் ஓடுகின்றார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.00
93,ஒருவர் சந்தையில் ஓடுகின்றார்,ஓருவர் வேகமாக ஓடுகின்றார்.,0.60
94,ஒருவர் வீதியில் ஓடுகின்றார்.,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,0.80
95,ஒருவர் வீதியில் ஓடுகின்றார்.,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,1.00
96,ஒருவர் வீதியில் ஓடுகின்றார்.,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.00
97,ஒருவர் வீதியில் ஓடுகின்றார்.,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.00
98,ஒருவர் வீதியில் ஓடுகின்றார்.,ஓருவர் வேகமாக ஓடுகின்றார்.,0.80
99,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,0.20
100,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.40
101,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.53
102,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,ஓருவர் வேகமாக ஓடுகின்றார்.,0.20
103,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.00
104,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.00
105,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,ஓருவர் வேகமாக ஓடுகின்றார்.,0.80
106,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.40
107,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,ஓருவர் வேகமாக ஓடுகின்றார்.,0.00
108,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,ஓருவர் வேகமாக ஓடுகின்றார்.,0.07
109,துப்பாக்கியால் ஒருவர் சுடுகிறார்,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,1.00
110,துப்பாக்கியால் ஒருவர் சுடுகிறார்,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,1.00
111,துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,0.67
112,துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,1.00
113,துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,0.93
114,துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,0.67
115,துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.60
116,துப்பாக்கியால் ஒருவர் சுடுகிறார்,ஒருவர் சுடுகின்றார்.,0.60
117,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,1.00
118,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,0.40
119,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,1.00
120,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,1.00
121,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,0.47
122,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.40
123,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,ஒருவர் சுடுகின்றார்.,0.60
124,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,0.40
125,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,1.00
126,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,1.00
127,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,0.40
128,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.40
129,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,ஒருவர் சுடுகின்றார்.,0.60
130,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,0.67
131,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,0.67
132,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,1.00
133,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.80
134,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,ஒருவர் சுடுகின்றார்.,0.53
135,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,1.00
136,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,0.40
137,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.40
138,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,ஒருவர் சுடுகின்றார்.,0.60
139,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,0.47
140,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.47
141,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,ஒருவர் சுடுகின்றார்.,0.47
142,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,0.80
143,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,ஒருவர் சுடுகின்றார்.,0.60
144,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,ஒருவர் சுடுகின்றார்.,0.60
145,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,0.00
146,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,0.00
147,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,0.60
148,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,0.40
149,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.00
150,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,0.40
151,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.00
152,ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.40
153,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,1.00
154,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,0.00
155,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,0.00
156,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.00
157,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,0.40
158,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.00
159,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.00
160,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,0.00
161,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,0.00
162,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.00
163,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,0.40
164,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.00
165,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.00
166,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,0.40
167,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.20
168,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,0.80
169,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.00
170,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.40
171,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.40
172,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,0.27
173,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.20
174,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.80
175,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,0.80
176,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.00
177,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.40
178,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.00
179,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.40
180,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.00
