ID,sentence1,sentence2,manual_similarity
24,ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,0.13
25,බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,0.53
26,බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,0.73
27,බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,0.2
28,ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,0.53
29,ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,0.2
30,ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,0.2
31,මිනිසෙක් කන්දක් තරණය කරයි,මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,0.73
32,මිනිසෙක් කන්දක් තරණය කරයි,මිනිසෙකු කන්දක් තරණය කරයි ,1
33,මිනිසෙක් කන්දක් තරණය කරයි,මිනිසෙක් කන්දක් නගියි,1
34,මිනිසෙක් කන්දක් තරණය කරයි,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,0.8
35,මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,මිනිසෙකු කන්දක් තරණය කරයි ,0.8
36,මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,මිනිසෙක් කන්දක් නගියි,0.8
37,මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,0.67
38,මිනිසෙකු කන්දක් තරණය කරයි ,මිනිසෙක් කන්දක් නගියි,0.93
39,මිනිසෙකු කන්දක් තරණය කරයි ,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,0.8
40,මිනිසෙක් කන්දක් නගියි,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,0.8
41,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,0.73
42,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,0.73
43,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.73
44,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,0.47
45,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,0.67
46,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.73
47,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,0.53
48,යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.73
49,යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,0.53
50,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,0.6
51,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,0.6
52,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,0.2
53,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.73
54,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,0.6
55,තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,0.13
56,තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.53
57,තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,0.33
58,රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.13
59,රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,0.07
60,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,0.53
61,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,0.6
62,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,0.07
63,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.67
64,යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,0.27
65,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,0.13
66,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.6
67,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,0.47
68,මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.33
69,මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,0.4
70,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,0.4
71,සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,0.47
72,සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,0.33
73,සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,කිඹුලන් දෙදෙකු වැවක සිටියි,0.4
74,සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,0.4
75,කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,0.6
76,කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,කිඹුලන් දෙදෙකු වැවක සිටියි,0.27
77,කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,0.53
78,උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,කිඹුලන් දෙදෙකු වැවක සිටියි,0.4
79,උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,0.6
80,කිඹුලන් දෙදෙකු වැවක සිටියි,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,0.6
81,ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,0.67
82,ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,මිනිසෙකු ජලය මත උඩ පනී ,0.8
83,ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,0.8
84,ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,0.53
85,නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,මිනිසෙකු ජලය මත උඩ පනී ,0.53
86,නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,0.6
87,නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,0.53
88,මිනිසෙකු ජලය මත උඩ පනී ,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,0.87
89,මිනිසෙකු ජලය මත උඩ පනී ,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,0.67
90,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,0.67
91,කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,0.53
92,කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,0.67
93,කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,0.73
94,කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,0.87
95,අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,0.6
96,අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,0.6
97,අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,0.53
98,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,0.93
99,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,0.6
100,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,0.6
101,සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,0.4
102,සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,0.33
103,සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,ක්‍රීඩකයෙකු පන්දුවක් දමයි,0.33
104,සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,0.4
105,බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,0.8
106,බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,ක්‍රීඩකයෙකු පන්දුවක් දමයි,0.53
107,බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,0.27
108,මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,ක්‍රීඩකයෙකු පන්දුවක් දමයි,0.47
109,මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,0.27
110,ක්‍රීඩකයෙකු පන්දුවක් දමයි,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,0.27
111,හිම කන්දක් තරණය කරන මිනිසෙක්,පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,0.67
112,හිම කන්දක් තරණය කරන මිනිසෙක්,මිනිසෙකු හිම කන්දක් තරණය කරයි ,1
113,හිම කන්දක් තරණය කරන මිනිසෙක්,මිනිසෙක් හිම කන්දක් නගියි,0.93
114,හිම කන්දක් තරණය කරන මිනිසෙක්,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,0.73
115,පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,මිනිසෙකු හිම කන්දක් තරණය කරයි ,0.73
116,පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,මිනිසෙක් හිම කන්දක් නගියි,0.67
117,පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,0.67
118,මිනිසෙකු හිම කන්දක් තරණය කරයි ,මිනිසෙක් හිම කන්දක් නගියි,0.87
119,මිනිසෙකු හිම කන්දක් තරණය කරයි ,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,0.67
120,මිනිසෙක් හිම කන්දක් නගියි,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,0.67
121,අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,0.73
122,අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,මිනිසෙකු හිම මත ලිස්සා යයි ,0.67
123,අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,0.87
124,අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,0.4
125,පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙකු හිම මත ලිස්සා යයි ,0.53
126,පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,0.73
127,පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,0.4
128,මිනිසෙකු හිම මත ලිස්සා යයි ,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,0.67
129,මිනිසෙකු හිම මත ලිස්සා යයි ,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,0.47
130,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,0.4
131,මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,0.67
132,මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,0.33
133,මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,0.87
134,මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,0.67
135,මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,0.47
136,මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,0.67
137,මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,0.8
138,නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,0.33
139,නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,0.33
140,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,0.6
141,සතුටින් උඩ පනින මිනිසුන් පිරිසක්,පුද්ගලයින් 6 දෙනෙක් ශුෂ්ක බිමක පන්දුවක් සමඟ සෙල්ලක් කරති,0.27
142,සතුටින් උඩ පනින මිනිසුන් පිරිසක්,මිනිසුන් පිරිසක් උඩ පනියි ,0.87
143,සතුටින් උඩ පනින මිනිසුන් පිරිසක්,මිනිසුන් පිරිසක් උඩ පනියි,0.87
144,සතුටින් උඩ පනින මිනිසුන් පිරිසක්,ඉරි තැලුණු බිමක් මත බෝලයක් උඩ දමම්න් පිරිසක් උඩ පනියි ,0.53
145,පුද්ගලයින් 6 දෙනෙක් ශුෂ්ක බිමක පන්දුවක් සමඟ සෙල්ලක් කරති,මිනිසුන් පිරිසක් උඩ පනියි ,0.33
